Sentence,Movie 
"Rachel erotically dances with the man, bumping and grinding and sinking to her knees. The audience applauds.",Bodyguard
"The disgruntled restaurateur stares at him through the glass before giving up and walking away, talking to himself as he goes up the block.",Phone-Booth
Do you understand what a self-fulfilling prophecy is? She was so convinced that I would find a woman that she finally drove me back to you.,Phone-Booth
"Frank comes to a halt across the quiet street from the closed, unmanned gate at the bottom of the Marron driveway.",Bodyguard
"Henry examines Frank, then sets his cloth down and walks toward the entrance where Frank is parked",Bodyguard
"Emma makes her way through the place's labyrinthine superstructure, crawling high on a girder above some BURBLING LIQUID.",Avengers
"Emma awakens, as if in a dream, imprisoned inside a strange cage: a life-size snow shaker. Emma ""swims"" in viscous air, suspended as if she were a mermaid.",Avengers
"Jake comes to a halt, unnoticed, next to the bully. He leans in, grabs one of the man's barstool legs, and YANKS.",Avatar
"Jake notices something and walks over to the blackboard, reaching out to touch a pattern of holes blasted into the slate.",Avatar
POLYPHEMUS is a GAS-GIANT PLANET ringed with dozens of moons that cast beauty-mark shadows on its vast face.,Avatar
"Cates exits Elaine's apartment building, walks to his beaten and battered 1964 Cadillac convertible, and notices a parking ticket stuck under the windshield wiper…",48 HRS
"Hammond is sitting at a table, wearing a Sony Walkman and writing in some detailed ledgers with a fountain pen.",48 HRS
"She leaps the final six feet, staggering slightly as the plane's jet wash splatters her clothes and hair.",Bodyguard
"Apart from Rachel's collection of old and faded dolls on the shelves and on the bed, the room is surprisingly bare and simple.",Bodyguard
"That would be Robin Leach.
Rory sniggers into Rachel's hair, fighting back a laugh.",Bodyguard
Billy has Rosalie by the mouth and is gagging her with his large paw... Ganz has his gun trained on Luther's neck.,48 HRS
Bars are starting to fill up with customers in the middle of the day... A black Chevy cruises by and pulls over further up the street.,48 HRS
"Vanzant and Algren make their way down the hallway, coming to a halt at the far end.",48 HRS
"Fletcher approaches Frank with his remote-control speed boat, relieved to have someone to talk to.",Bodyguard
Frank emerges from the building with Devaney and walks toward his car.,Bodyguard
"The rubber-gloved hands are gluing the word ""TIME"" onto a message in the style of a ransom note.",Bodyguard
Billy and Rosalie make their way to the Cougar by weaving their way across the street.,48 HRS
"While Cates is inspecting the gun, RUTH, a lab technician, enters and places three 8 x 10 photographs on the desk near Cates.",48 HRS
"Frank sits in his shorts under the solitary tree, sunglasses on and a glass of iced tea by his side. ""DON'T WALK AWAY RENEE"" strains come from a beat-up transistor RADIO.",Bodyguard
"Henry pauses for a moment before smiling.
OVER SCENE 26-28, we hear CNN's MARTIN GROVE from ""Showbiz Today.""",Bodyguard
You got a girlfriend... shit... the generosity of women never ceases to amaze me.,48 HRS
"Cates' Cadillac enters a deserted street within a rundown neighborhood, purring into view.",48 HRS
"Listen, if you think I'm happy about it, you're insane.
I just have a few things to take care of, okay?",48 HRS
"Outside the booth, a huge, heavy-set black woman in a too-tight dress appears, clearly wanting to use the phone.",Phone-Booth
"Stu ignores her, and Felicia casts a hostile look at him through the glass.",Phone-Booth
This total stranger called and told me to wait by the phone because you'd be calling me from a booth in a few minutes.,Phone-Booth
"Snow is waist high on Jermyn Street. SIRENS BLARE. The searchlights. Citizens are urged to stay indoors, according to public service announcements... PULL BACK to reveal a glowing fire and a CLOCK ticking calmly.",Avengers
"A storehouse of weapons. Steed stands in front of racks of umbrellas, which are displayed like ceremonial swords — ivory handles, duck handles, you name it…",Avengers
The letter 'X' denotes the location. The shoes were delivered to... a Hyde Park island. The Serpentine is all around you.,Avengers
"I convinced the cops to use his real name instead of his stage name, so no one noticed.",Phone-Booth
"Hello, Liz. Sure, I'll keep it brief. Two weeks ago, in the theatre district, there was a murder. It turned out that the job was done by a sniper.",Phone-Booth
"Leon assaults the booth itself, unable to touch Stu again. He begins violently shaking it, attempting to rip it from its foundation.",Phone-Booth
Mother is at the heart of his Labyrinth in his darkest paranoia. The emergency lights on the controls around him flash. Panic ensues.,Avengers
"As Valentine explains, Emma's coffin, standing on end like the Iron Maiden, faces a wall of TV monitors.",Avengers
"According to Dr. Darling, you have a psychopathic personality with schizophrenic delusions, recurring amnesia based on traumatic repression, and outbursts of anti-social and violent behavior.",Avengers
"Everything is seen from Stu's point of view, with no intercuts.",Phone-Booth
The only time we deviate from Stu's point of view is when we see the sniper's point of view through his scope.,Phone-Booth
"Emma launches a counterattack. Slashes with the sabre, and the teddy's head flies away! The name of Jesus.",Avengers
"THUNDER and lightning -- Steed is caught out in it; puts up his umbrella; wanders
	over the brow of a hill, past a big sign:  ""No Trespassers.""  Rains more.  And more.
	Turns to a tempest, as --",Avengers
"TSU'TEY  is a young and powerfully built man with sculpted features and a proud jawline, as well as piercing eyes.",Avatar
"TIME CUT — As the Samson flies over a WATERFALL hundreds of feet high, the ground disappears.",Avatar
"Yeah, because we're not the only thing circling out there. Or the most significant.
I'm going to need you on a door gun because I'm a man short.",Avatar
"THE SCREEN FLARES WHITE — ZZZWHAP! — before resolving into an overexposed, out-of-focus image of two BLURRY FACES wearing masks and looking down.",Avatar
"DOCTOR MAX CULLIMORE, a scientist, is supervising the uncrating of two SHIPPING CONTAINERS. The sides of the nearer have been removed, revealing — a ceiling-height acrylic TANK.",Avatar
"A UNIFORMED FIGURE grips the railing of an OPS CENTER WALKWAY, seen from above, as Jake pumps his chair through the tunnel below.",Avatar
"The ATTENDANT closes and seals the box with a tape dispenser, as if it were a package for shipping.",Avatar
"In the back of the bus, he discovers an empty seat. He notices a sad-eyed FOUR-YEAR-OLD GIRL sitting on her knees looking back at him, 
her face puffy from crying. Her mother is looking ahead. But you can tell she's angry even from behind.",Joker
"The poor, elderly, and disenfranchised are strewn about the streets. Women pushing smashed strollers with their children.
Sleeping on subway grate by homeless people. Dogs on the loose. He's one of the few people with a white face.",Joker
"Joker, holding his mother's letter in his hand, is looking up at the intimidating steel and glass tower.
Joker appears out of place among the flurry of professionals entering and exiting the company's corporate headquarters.",Joker
"A small talent booking agency's cramped locker room.This is where Joker is employed. For parties and events, 
they ""rent out"" talent. Clowns, magicians, and male strippers are among the performers.",Joker
